,entry,title,subtitle,author,genre,mode,location,publisher,year,format,libretto,translation
0,"ABBAGLI FELICI. Commedia (in prosa). — In Macerata, per Agostino Grisei. 1642 in 12 — del Co. Prospero Bonarelli della Rovere, d'Ancona.",Abbagli Felici,,,Commedia,prose,Macerata,Agostino Grisei,1642,12,False,False
1,"ABBANDONO D'ARMIDA. Trattenimento scenico cantato nel Teatro Grimani di San Gian—Grisostomo di Ven. nell'ultima sera del Carnevale dell'anno 1729. dedicato alle Eccellentissime Dame Veneziane, — in Venezia, appresso Carlo Buonarrigo. 1729 in 12 — Poesia di Giovanni Boldini, Veneziano. — Musica di diversi.",Abbandono D'Armida,,Giovanni Boldini,Trattenimento scenico,verse,Venezia,Carlo Buonarrigo,1729,12,True,False
2,"ABBATE. Commedia (in prosa). — in Venez. appresso Agostino Bindoni. 1556 in 8 — di Bartolommeo Cappello, di Olcenengo.",Abbate,,Bartolommeo Cappello,Commedia,prose,Venezia,Agostino Bindoni,1556,8,False,False
3,ABBISAI. Op. (in prosa). — in Milano per il Malatesta. 1718 in 12 — di Carlo Giuseppe Cornacchia.,Abbisai,,Carlo Giuseppe Cornacchia.,Op,prose,Milano,Malatesta,1718,12,False,False
4,"ABDOLOMINO. Dramma rappresentato alle Sac. Ces. R. M. nel Carnevale dell'anno 1709 — in Vienna, appr. gli Eredi Cosmeroviani. 1709. in 8 — Poesia di Silvio Stampiglia, Romano. — Musica di Giovanni Bononcini, Bolognese.",Abdolomino,,Silvio Stampiglia,Dramma,,Vienna,gli Eredi Cosmeroviani,1709,8,True,False
5,"ABEL. Orazione Sacra per Musica (divisa in due parti in forma d'Oratorio). — in Venezia (senza nome di Stampatore). 1738 in 8 — Poesia di Bastiano Biancardi Napoletano, detto Domenico Lalli.",Abel,,Bastiano Biancardi Napoletano,Orazione Sacra,,Venezia,Unknown,1738,8,False,False
6,"ABEL, E CAINO. Rappresentazione di Abel, e di Caino (in ottava rima) nuovamente venuta in luce, in Firenze l'anno 1554. del Mese di Febbraio. in 4. — Poesia d'Incerto Autore.","Abel, E Caino",,Unknown,Rappresentazione,verse,Firenze,,1554,4,False,False
7,"ABELE UCCISO DA CAINO. Oratorio. — in Mantova, per gli Osanna, 1687. in 8 — Poesia d'Autore incerto.",Abele Ucciso Da Caino,,Unknown,Oratorio,,Mantova,Osanna,1687,8,False,False
8,"ABIGAILLE. Poema drammatico fatto rappresentare in Città della Pieve per la venuta in detta Città dell'Illustrissimo ed Eccellentissimo Sign. Duca Muti, Sign. sua Consorte, e Figliuola. — in Perugia per il Costantini. 1691 in 8 — Poesia dell'Ab. Michele Brugneres, Romano, fra' Concordi lo Strepitoso. — Musica di Pier Giacomo Bacci, Perugino, Accademico Unissono.",Abigaille,,Michele Brugneres,Poema drammatico,,Città,Costantini,1691,8,True,False
9,"ABRAAM, E SARA. Rappresentazione di Abraam, e di Sara sua Moglie, nella quale si contiene la buona vita di Isaac lor Figliuolo, e la mala creanza d'Ismael Figliuolo di Agar sua ancilla, e come furono conciati. in Fiorenza. 1556. in 4— Poesia d'incerto Autore.","Abraam, E Sara",,Unknown,Rappresentazione,,Fiorenza,,1556,4,False,False
10,"ABRAM ET ISAC. Rappresentazione. — senza nota di luogo, Stampatore, e anno. in 4 — d'incerto Autore.",Abram Et Isac,,Unknown,Rappresentazione,,,Unknown,,4,False,False
11,"ABRAMO CHE SCACCIA DI CASA SUA AGAR ED ISMAELE. Rappresentazione. — in Ferrara, 1602 in 4 — di Fr. Domenico Vecchi.",Abramo Che Scaccia Di Casa Sua Agar Ed Ismaele,,Fr. Domenico Vecchi.,Rappresentazione,,Ferrara,,1602,4,False,False
12,"ABRAMO. Azione Sacra. — in Ven. per Bonifazio Viezzeri, 1733 in 8 — Poesia di Bastiano Biancardi, Napoletano (detto Domenico Lalli).",Abramo,,Bastiano Biancardi,Azione Sacra,,Venezia,Bonifazio Viezzeri,1733,8,False,False
13,"ABRAMO. Dialogo per Musica. — in Palermo. — Poesia di Giuseppe Gennaro, di Palermo.",Abramo,,Giuseppe Gennaro,Dialogo,,Palermo,,,,False,False
14,"ABRAMO. Poema Drammatico. — in Palermo, appresso Giuseppe Bisagni. 1654 in 4 — Poesia di Giuseppe Gangezia, Siciliano.",Abramo,,Giuseppe Gangezia,Poema Drammatico,,Palermo,Giuseppe Bisagni,1654,4,False,False
15,"ABRAMO VINCITOR DE' PROPRI AFFETTI. Oratorio. in Bologna, per Bartolommeo recaldini, 1687 in 8— Poesia d'Autore incerto.",Abramo Vincitor De' Propri Affetti,,Unknown,Oratorio,,Bologna,Bartolommeo recaldini,1687,8,False,False
